SI_NO,SKU_Codes,Brand_Name,Item_name,Category,Quantities,UQC,ordered_unit,family_key
38.0,JOH-BAB-BAB-200ML,johnson's baby,baby lotion,baby care,200 ml,ML,packets,johnson's baby baby lotion
39.0,DET-PER-HAN-250ML,dettol,hand wash,personal care,250 ml,ML,packets,dettol hand wash
40.0,DOM-HOM-TOI-500ML,domex,toilet cleaner,home care,500 ml,ML,bottles,domex toilet cleaner
41.0,TID-CLE-WAS-1KG,tide,washing powder,cleaning,1 kg,KG,packets,tide washing powder
42.0,DAL-OIL-GHE-1KG,dalda,ghee,oil & ghee,1 kg,KG,jars,dalda ghee
43.0,CAT-SPI-BLA-50GM,catch,black pepper,spices,50 gm,GM,packets,catch black pepper
44.0,BAS-GRA-BAS-5KG,basmati king,basmati rice,grains,5 kg,KG,bags,basmati king basmati rice
45.0,AAS-GRA-ATT-10KG,aashirvaad,atta (flour),grains,10 kg,KG,packets,aashirvaad atta (flour)
46.0,MOT-DAI-CUR-500GM,mother dairy,curd,dairy,500 gm,GM,packets,mother dairy curd
47.0,DAN-DAI-YOG-400GM,danone,yogurt,dairy,400 gm,GM,packets,danone yogurt
48.0,HAV-FRO-ICE-1LTR,havmor,ice cream,frozen,1 ltr,LTR,packets,havmor ice cream
49.0,AMU-DAI-BUT-100GM,amul,butter,dairy,100 gm,GM,packets,amul butter
50.0,KFL-DAI-PAN-500GM,kfl fresh,paneer,dairy,500 gm,GM,packets,kfl fresh paneer
51.0,HAL-FRO-SAM-1*4PCS,haldiram’s,samosa,frozen,1 * 4 pcs,PCS,packets,haldiram’s samosa
52.0,MDH-SPI-CHA-100GM,mdh,chaat masala,spices,100 gm,GM,packets,mdh chaat masala
53.0,EVE-SPI-RED-200GM,everest,red chilli powder,spices,200 gm,GM,packets,everest red chilli powder
54.0,TAT-PUL-MOO-1KG,tata sampann,moong dal,pulses,1 kg,KG,packets,tata sampann moong dal
55.0,FOR-OIL-SOY-1LTR,fortune,soybean oil,oil & ghee,1 ltr,LTR,bottles,fortune soybean oil
56.0,BRI-BIS-MAR-200GM,britannia,marie gold,biscuits,200 gm,GM,packets,britannia marie gold
57.0,TRO-BEV-MIX-1LTR,tropicana,mixed fruit juice,beverages,1 ltr,LTR,bottles,tropicana mixed fruit juice
58.0,KWA-FRO-ICE-PACKOF6,kwality walls,ice cream cone,frozen,Pack of 6,UNITS,packets,kwality walls ice cream cone
59.0,DUR-PER-CON-PACKOF10,durex,condoms,personal care,Pack of 10,UNITS,packets,durex condoms
60.0,AMR-PHA-PAI-30GM,amrutanjan,pain balm,pharma,30 gm,GM,packets,amrutanjan pain balm
61.0,VIC-PHA-VAP-25GM,vicks,vaporub,pharma,25 gm,GM,packets,vicks vaporub
62.0,HIM-PER-FAC-150ML,himalaya,face wash,personal care,150 ml,ML,tubes,himalaya face wash
63.0,GAR-PER-SHA-100ML,garnier men,shaving gel,personal care,100 ml,ML,packets,garnier men shaving gel
64.0,GIL-PER-RAZ-PACKOF4,gillette,razor blade,personal care,Pack of 4,UNITS,packets,gillette razor blade
65.0,PAM-BAB-DIA-1*42PCS,pampers,diaper pants,baby care,1 * 42 pcs,PCS,packs,pampers diaper pants
66.0,JOH-BAB-BAB-100ML,johnson’s,baby shampoo,baby care,100 ml,ML,packets,johnson’s baby shampoo
67.0,ASH-PAC-VER-500GM,ashirwad,vermicelli,packaged food,500 gm,GM,packets,ashirwad vermicelli
68.0,MCC-FRO-FRI-1KG,mccain,fries,frozen,1 kg,KG,packets,mccain fries
69.0,KFC-FRO-CHI-8PIECES,kfc,chicken bucket,frozen/restaurant,8 Pieces,PCS,packets,kfc chicken bucket
70.0,MTR-PAC-POH-500GM,mtr,poha mix,packaged food,500 gm,GM,packets,mtr poha mix
71.0,ITC-SNA-CHI-120GM,itc bingo,chips,snacks,120 gm,GM,packets,itc bingo chips
72.0,MYS-PER-SOA-100GM,mysore sandal,soap,personal care,100 gm,GM,packets,mysore sandal soap
73.0,DOV-PER-BOD-200ML,dove,body lotion,personal care,200 ml,ML,packets,dove body lotion
74.0,GIL-PER-SHA-1PIECE,gillette mach3,shaving razor,personal care,1 Piece,PCS,packets,gillette mach3 shaving razor
75.0,HIM-PER-HER-200ML,himalaya,herbal shampoo,personal care,200 ml,ML,packets,himalaya herbal shampoo
76.0,FEV-DIY-ADH-500GM,fevicol,adhesive,diy,500 gm,GM,packets,fevicol adhesive
77.0,HIT-HOM-MOS-500ML,hit,mosquito spray,home care,500 ml,ML,packets,hit mosquito spray
78.0,GOO-HOM-COI-PACKOF10,good knight,coil,home care,Pack of 10,UNITS,bottles,good knight coil
79.0,ALL-HOM-LIQ-45NIGHTS,all out,liquid vaporizer,home care,45 Nights,GM,packets,all out liquid vaporizer
80.0,DET-PHA-DIS-1LTR,dettol,disinfectant liquid,pharma,1 ltr,LTR,packets,dettol disinfectant liquid
81.0,SAV-PHA-HAN-100ML,savlon,hand sanitizer,pharma,100 ml,ML,packets,savlon hand sanitizer
82.0,CLI-PER-SHA-175ML,clinic plus,shampoo,personal care,175 ml,ML,packets,clinic plus shampoo
83.0,HEA-PER-CON-100ML,head & shoulders,conditioner,personal care,100 ml,ML,packets,head & shoulders conditioner
84.0,IND-GRA-BAS-5KG,india gate,basmati rice,grains,5 kg,KG,bags,india gate basmati rice
85.0,DAA-GRA-BRO-1KG,daawat,brown basmati rice,grains,1 kg,KG,bags,daawat brown basmati rice
86.0,FOR-GRA-CHA-10KG,fortune,chakki atta,grains,10 kg,KG,packets,fortune chakki atta
87.0,PIL-GRA-WHO-2KG,pillsbury,whole wheat atta,grains,2 kg,KG,packets,pillsbury whole wheat atta
88.0,TAT-PUL-TOO-500GM,tata sampann,toor dal,pulses,500 gm,GM,packets,tata sampann toor dal
89.0,RAJ-PUL-MAS-1KG,rajdhani,masoor dal,pulses,1 kg,KG,packets,rajdhani masoor dal
90.0,-PUL-MOO-500GM,24 mantra organic,moong dal,pulses,500 gm,GM,packets,24 mantra organic moong dal
91.0,AAS-GRA-WHE-5KG,aashirvaad,wheat atta,grains,5 kg,KG,packets,aashirvaad wheat atta
92.0,BB-GRA-RAG-1KG,b&b organics,ragi flour,grains,1 kg,KG,packets,b&b organics ragi flour
93.0,EVE-GRA-POH-500GM,everest,poha (flattened rice),grains,500 gm,GM,bags,everest poha (flattened rice)
94.0,SAF-OIL-GOL-5LTR,saffola,gold refined oil,oil & ghee,5 ltr,LTR,bottles,saffola gold refined oil
95.0,EVE-SPI-TUR-100GM,everest,turmeric powder (haldi),spices,100 gm,GM,packets,everest turmeric powder (haldi)
96.0,CAT-SPI-CHA-100GM,catch,chat masala,spices,100 gm,GM,packets,catch chat masala
97.0,MDH-SPI-DEG-200GM,mdh,deggi mirch powder,spices,200 gm,GM,packets,mdh deggi mirch powder
98.0,TAT-CON-IOD-1KG,tata salt,iodized salt,condiments,1 kg,KG,packets,tata salt iodized salt
99.0,KIS-CON-MIX-500GM,kissan,mixed fruit jam,condiments,500 gm,GM,jars,kissan mixed fruit jam
100.0,MAG-CON-TOM-1KG,maggi,tomato ketchup,condiments,1 kg,KG,packets,maggi tomato ketchup
101.0,CHI-CON-SOY-200GM,ching's secret,soy sauce,condiments,200 gm,GM,packets,ching's secret soy sauce
102.0,BOR-OIL-EXT-1LTR,borges,extra light olive oil,oil & ghee,1 ltr,LTR,bottles,borges extra light olive oil
103.0,DHA-OIL-GRO-1LTR,dhara,groundnut oil,oil & ghee,1 ltr,LTR,bottles,dhara groundnut oil
104.0,SUN-OIL-REF-2LTR,sunrich,refined sunflower oil,oil & ghee,2 ltr,LTR,bottles,sunrich refined sunflower oil
105.0,DAB-CON-HON-250GM,dabur,honey,condiments,250 gm,GM,jars,dabur honey
106.0,PRI-CON-MAN-300GM,priya,mango pickle,condiments,300 gm,GM,packets,priya mango pickle
107.0,WEI-CON-BAK-100GM,weikfield,baking powder,condiments,100 gm,GM,packets,weikfield baking powder
108.0,KEY-SPI-BLA-50GM,keya,black pepper whole,spices,50 gm,GM,packets,keya black pepper whole
109.0,-SPI-MAD-500GM,777,madras curry powder,spices,500 gm,GM,packets,777 madras curry powder
110.0,SPR-SPI-ORE-50GM,sprig,oregano seasoning,spices,50 gm,GM,packets,sprig oregano seasoning
111.0,-SPI-MAD-200GM,777,madras sambar powder,spices,200 gm,GM,packets,777 madras sambar powder
112.0,LOC-VEG-ONI-1KG,local,onion,vegetables,1 kg,KG,packets,local onion
113.0,LOC-VEG-POT-2KG,local,potato,vegetables,2 kg,KG,packets,local potato
114.0,LOC-VEG-TOM-500GM,local,tomato,vegetables,500 gm,GM,packets,local tomato
115.0,LOC-VEG-GRE-100GM,local,green chilli,vegetables,100 gm,GM,packets,local green chilli
116.0,LOC-VEG-GIN-250GM,local,ginger,vegetables,250 gm,GM,packets,local ginger
117.0,LOC-VEG-GAR-200GM,local,garlic,vegetables,200 gm,GM,packets,local garlic
118.0,LOC-VEG-LEM-1*6PCS,local,lemon,vegetables,1 * 6 pcs,PCS,packets,local lemon
119.0,LOC-VEG-LAD-250GM,local,lady finger (bhindi),vegetables,250 gm,GM,packets,local lady finger (bhindi)
120.0,LOC-VEG-CAP-500GM,local,capsicum green,vegetables,500 gm,GM,packets,local capsicum green
121.0,LOC-VEG-CAR-500GM,local,carrot,vegetables,500 gm,GM,packets,local carrot
122.0,LOC-VEG-CAU-1PCS,local,cauliflower,vegetables,1 pcs,PCS,packets,local cauliflower
123.0,LOC-VEG-CAB-1PCS,local,cabbage,vegetables,1 pcs,PCS,packets,local cabbage
124.0,LOC-VEG-SPI-250GM,local,spinach (palak),vegetables,250 gm,GM,packets,local spinach (palak)
125.0,LOC-FRU-BAN-1DOZEN,local,banana robusta,fruits,1 Dozen,UNITS,packets,local banana robusta
126.0,AMU-CON-PRO-400GM,amul,processed cheese block,condiments,400 gm,GM,packets,amul processed cheese block
127.0,PET-CON-VAN-20ML,peter england,vanilla essence,condiments,20 ml,ML,packets,peter england vanilla essence
128.0,VIM-OIL-REF-1LTR,vimal,refined palm oil,oil & ghee,1 ltr,LTR,bottles,vimal refined palm oil
129.0,EVE-SPI-GAR-50GM,everest,garam masala,spices,50 gm,GM,packets,everest garam masala
130.0,CHI-CON-GRE-200GM,ching's secret,green chili sauce,condiments,200 gm,GM,packets,ching's secret green chili sauce
131.0,HIM-CON-PIN-1KG,himalayan,pink rock salt,condiments,1 kg,KG,packets,himalayan pink rock salt
132.0,DEL-CON-MAY-260GM,del monte,mayonnaise classic,condiments,260 gm,GM,packets,del monte mayonnaise classic
133.0,NAT-SPI-ORG-100GM,natureland,organic coriander powder,spices,100 gm,GM,packets,natureland organic coriander powder
134.0,GOL-OIL-REF-1LTR,gold winner,refined sunflower oil,oil & ghee,1 ltr,LTR,bottles,gold winner refined sunflower oil
135.0,NUT-CON-TAB-500GM,nutralite,table margarine,condiments,500 gm,GM,packets,nutralite table margarine
136.0,BOR-CON-BAL-500ML,borges,balsamic vinegar,condiments,500 ml,ML,packets,borges balsamic vinegar
137.0,EAS-SPI-SAM-250GM,eastern,sambar powder,spices,250 gm,GM,packets,eastern sambar powder
138.0,PAT-OIL-KAC-2LTR,patanjali,kachi ghani mustard oil,oil & ghee,2 ltr,LTR,bottles,patanjali kachi ghani mustard oil
139.0,DLE-CON-SWE-400GM,d'lecta,sweetened condensed milk,condiments,400 gm,GM,packets,d'lecta sweetened condensed milk
140.0,BAD-SPI-PAV-100GM,badshah,pav bhaji masala,spices,100 gm,GM,packets,badshah pav bhaji masala
141.0,MOT-CON-GIN-300GM,mother's recipe,ginger garlic paste,condiments,300 gm,GM,packets,mother's recipe ginger garlic paste
142.0,SAF-OIL-ACT-3LTR,saffola,active edible oil,oil & ghee,3 ltr,LTR,bottles,saffola active edible oil
143.0,EVE-SPI-CUM-200GM,everest,cumin whole (jeera),spices,200 gm,GM,packets,everest cumin whole (jeera)
144.0,NIR-CON-PAP-200GM,niru,papad,condiments,200 gm,GM,packets,niru papad
145.0,SPR-SPI-CHI-50GM,sprig,chili flakes,spices,50 gm,GM,packets,sprig chili flakes
146.0,CRE-CON-PEA-400GM,cremica,peanut butter,condiments,400 gm,GM,packets,cremica peanut butter
147.0,VIM-OIL-VAN-500GM,vimal,vanaspati ghee,oil & ghee,500 gm,GM,jars,vimal vanaspati ghee
148.0,LOC-FRU-APP-1KG,local,apple red delicious,fruits,1 kg,KG,packets,local apple red delicious
149.0,LOC-FRU-ORA-500GM,local,orange nagpur,fruits,500 gm,GM,packets,local orange nagpur
150.0,LOC-FRU-GRA-500GM,local,grapes black seedless,fruits,500 gm,GM,packets,local grapes black seedless
151.0,LOC-FRU-WAT-1PCS(2-3KG),local,watermelon,fruits,1 pcs (2-3 KG),KG,packets,local watermelon
152.0,LOC-VEG-COR-1BUNCH,local,coriander leaves (dhaniya),vegetables,1 Bunch,UNITS,packets,local coriander leaves (dhaniya)
153.0,LOC-VEG-CUC-500GM,local,cucumber (kheera),vegetables,500 gm,GM,packets,local cucumber (kheera)
154.0,LOC-VEG-BRI-500GM,local,brinjal (bharta type),vegetables,500 gm,GM,packets,local brinjal (bharta type)
155.0,LOC-VEG-DRU-250GM,local,drumstick,vegetables,250 gm,GM,packets,local drumstick
156.0,LOC-VEG-SWE-1KG,local,sweet potato,vegetables,1 kg,KG,packets,local sweet potato
157.0,LOC-VEG-MUS-200GM,local,mushroom button,vegetables,200 gm,GM,packets,local mushroom button
158.0,LOC-VEG-FRE-250GM,local,french beans,vegetables,250 gm,GM,packets,local french beans
159.0,LOC-FRU-MAN-1KG,local,mango kesar,fruits,1 kg,KG,packets,local mango kesar
160.0,LOC-FRU-POM-2PCS,local,pomegranate,fruits,2 pcs,PCS,packets,local pomegranate
161.0,LOC-VEG-PAP-1PCS,local,papaya raw,vegetables,1 pcs,PCS,packets,local papaya raw
162.0,LOC-VEG-BRO-500GM,local,broccoli,vegetables,500 gm,GM,packets,local broccoli
163.0,LOC-VEG-ZUC-500GM,local,zucchini green,vegetables,500 gm,GM,packets,local zucchini green
164.0,LOC-VEG-RAD-500GM,local,radish white,vegetables,500 gm,GM,packets,local radish white
165.0,LOC-VEG-GRE-250GM,local,green peas shelled,vegetables,250 gm,GM,packets,local green peas shelled
166.0,LOC-FRU-COC-1PCS,local,coconut (tender),fruits,1 pcs,PCS,packets,local coconut (tender)
167.0,LOC-FRU-GUA-500GM,local,guava,fruits,500 gm,GM,packets,local guava
168.0,LOC-FRU-PIN-1PCS,local,pineapple,fruits,1 pcs,PCS,packets,local pineapple
169.0,LOC-VEG-CUR-1BUNCH,local,curry leaves,vegetables,1 Bunch,UNITS,packets,local curry leaves
170.0,LOC-VEG-MIN-1BUNCH,local,mint leaves (pudina),vegetables,1 Bunch,UNITS,packets,local mint leaves (pudina)
171.0,LOC-VEG-BEE-500GM,local,beetroot,vegetables,500 gm,GM,packets,local beetroot
172.0,LOC-VEG-YEL-250GM,local,yellow capsicum,vegetables,250 gm,GM,packets,local yellow capsicum
173.0,LOC-VEG-SWE-2PCS,local,sweet corn,vegetables,2 pcs,PCS,packets,local sweet corn
174.0,LOC-FRU-PEA-500GM,local,pear green,fruits,500 gm,GM,packets,local pear green
175.0,LOC-FRU-KIW-1*3PCS,local,kiwi,fruits,1 * 3 pcs,PCS,packets,local kiwi
176.0,LOC-FRU-LIT-500GM,local,litchi,fruits,500 gm,GM,packets,local litchi
177.0,LOC-VEG-BEL-250GM,local,bell pepper red,vegetables,250 gm,GM,packets,local bell pepper red
178.0,LOC-VEG-BOT-1KG,local,bottle gourd (lauki),vegetables,1 kg,KG,packets,local bottle gourd (lauki)
179.0,LOC-VEG-RID-500GM,local,ridge gourd (torai),vegetables,500 gm,GM,packets,local ridge gourd (torai)
180.0,LOC-VEG-BIT-250GM,local,bitter gourd (karela),vegetables,250 gm,GM,packets,local bitter gourd (karela)
181.0,LOC-VEG-CLU-250GM,local,cluster beans (gavar),vegetables,250 gm,GM,packets,local cluster beans (gavar)
182.0,LOC-VEG-FEN-1BUNCH,local,fenugreek leaves (methi),vegetables,1 Bunch,UNITS,packets,local fenugreek leaves (methi)
183.0,LOC-VEG-SPR-250GM,local,spring onion,vegetables,250 gm,GM,packets,local spring onion
184.0,LOC-VEG-CAP-250GM,local,capsicum red,vegetables,250 gm,GM,packets,local capsicum red
185.0,LOC-FRU-BAN-500GM,local,banana yelakki,fruits,500 gm,GM,packets,local banana yelakki
187.0,LOC-FRU-SWE-500GM,local,sweet lime (mosambi),fruits,500 gm,GM,packets,local sweet lime (mosambi)
188.0,LOC-FRU-PAS-1*3PCS,local,passion fruit,fruits,1 * 3 pcs,PCS,packets,local passion fruit
189.0,LOC-VEG-COL-500GM,local,colocasia (arvi),vegetables,500 gm,GM,packets,local colocasia (arvi)
190.0,LOC-VEG-SPO-500GM,local,sponge gourd (nenua),vegetables,500 gm,GM,packets,local sponge gourd (nenua)
191.0,LOC-VEG-WHI-1KG,local,white pumpkin,vegetables,1 KG,KG,packets,local white pumpkin
192.0,LOC-VEG-DIL-1BUNCH,local,dill leaves (soa),vegetables,1 Bunch,UNITS,packets,local dill leaves (soa)
193.0,LOC-FRU-GOO-250GM,local,gooseberry (amla),fruits,250 gm,GM,packets,local gooseberry (amla)
194.0,LOC-FRU-STA-250GM,local,star fruit,fruits,250 gm,GM,packets,local star fruit
195.0,LOC-FRU-AVO-1PCS,local,avocados,fruits,1 pcs,PCS,packets,local avocados
196.0,LOC-VEG-RED-500GM,local,red cabbage,vegetables,500 gm,GM,packets,local red cabbage
197.0,LOC-VEG-PAR-1BUNCH,local,parsley,vegetables,1 Bunch,UNITS,packets,local parsley
198.0,LOC-VEG-LEE-500GM,local,leeks,vegetables,500 gm,GM,packets,local leeks
199.0,LOC-VEG-CHE-200GM,local,cherry tomatoes,vegetables,200 gm,GM,packets,local cherry tomatoes
200.0,LOC-VEG-BOK-250GM,local,bok choy,vegetables,250 gm,GM,packets,local bok choy
201.0,LOC-FRU-DRA-1PCS,local,dragon fruit,fruits,1 pcs,PCS,packets,local dragon fruit
202.0,LOC-FRU-PLU-250GM,local,plums,fruits,250 gm,GM,packets,local plums
203.0,LOC-FRU-PEA-250GM,local,peaches,fruits,250 gm,GM,packets,local peaches
204.0,LOC-VEG-ASP-200GM,local,asparagus,vegetables,200 gm,GM,packets,local asparagus
205.0,LOC-VEG-TUR-500GM,local,turnip,vegetables,500 gm,GM,packets,local turnip
206.0,LOC-VEG-CEL-250GM,local,celery,vegetables,250 gm,GM,packets,local celery
207.0,LOC-VEG-BAB-200GM,local,baby corn,vegetables,200 gm,GM,packets,local baby corn
208.0,LOC-FRU-RAS-125GM,local,raspberries,fruits,125 gm,GM,packets,local raspberries
209.0,LOC-FRU-BLA-150GM,local,blackberries,fruits,150 gm,GM,packets,local blackberries
211.0,LOC-VEG-ROM-1HEAD,local,romaine lettuce,vegetables,1 Head,UNITS,packets,local romaine lettuce
212.0,LOC-VEG-KAL-100GM,local,kale,vegetables,100 gm,GM,packets,local kale
213.0,LOC-VEG-ART-2PCS,local,artichoke,vegetables,2 pcs,PCS,packets,local artichoke
214.0,LOC-VEG-KOH-500GM,local,kohlrabi,vegetables,500 gm,GM,packets,local kohlrabi
215.0,LOC-VEG-TAR-500GM,local,taro root (kachalu),vegetables,500 gm,GM,packets,local taro root (kachalu)
216.0,LOC-FRU-GRE-500GM,local,green apple,fruits,500 gm,GM,packets,local green apple
217.0,LOC-FRU-FIG-250GM,local,figs (anjeer),fruits,250 gm,GM,packets,local figs (anjeer)
218.0,LOC-FRU-DAT-250GM,local,dates fresh,fruits,250 gm,GM,packets,local dates fresh
219.0,LOC-VEG-PLA-500GM,local,plantain (kacha kela),vegetables,500 gm,GM,packets,local plantain (kacha kela)
220.0,LOC-VEG-JIC-500GM,local,jicama (singada),vegetables,500 gm,GM,packets,local jicama (singada)
221.0,LOC-VEG-BAS-50GM,local,basil leaves,vegetables,50 gm,GM,packets,local basil leaves
222.0,LOC-VEG-THY-25GM,local,thyme,vegetables,25 gm,GM,packets,local thyme
223.0,LOC-VEG-ROS-25GM,local,rosemary,vegetables,25 gm,GM,packets,local rosemary
224.0,LOC-SPI-STA-50GM,local,star anise,spices,50 gm,GM,packets,local star anise
225.0,LOC-SPI-BAY-50GM,local,bay leaf (tej patta),spices,50 gm ,GM,packets,local bay leaf (tej patta)
226.0,LOC-SPI-GRE-50GM,local,green cardamom,spices,50 gm,GM,packets,local green cardamom
227.0,LOC-SPI-BLA-50GM,local,black cardamom,spices,50 gm,GM,packets,local black cardamom
228.0,LOC-SPI-CLO-50GM,local,cloves (laung),spices,50 gm,GM,packets,local cloves (laung)
229.0,LOC-SPI-CIN-50GM,local,cinnamon stick (dalchini),spices,50 gm,GM,packets,local cinnamon stick (dalchini)
230.0,LOC-SPI-NUT-50GM,local,nutmeg (jaiphal),spices,50 gm,GM,packets,local nutmeg (jaiphal)
231.0,LOC-CON-DES-100GM,local,desiccated coconut powder,condiments,100 gm,GM,packets,local desiccated coconut powder
232.0,LOC-SPI-SES-200GM,local,sesame seeds (til),spices,200 gm,GM,packets,local sesame seeds (til)
233.0,TAT-PUL-URA-1KG,tata sampann,urad dal,pulses,1 kg,KG,packets,tata sampann urad dal
234.0,COM-BEV-MIL-2KG,complan,milk powder,beverages,2 kg,KG,packets,complan milk powder
235.0,EVE-SPI-CHH-500GM,everest,chhole masala,spices,500 gm,GM,packets,everest chhole masala
236.0,CAT-SPI-DHA-100GM,catch,dhaniya powder,spices,100 gm,GM,packets,catch dhaniya powder
237.0,NAT-GRA-CHA-10KG,nature fresh,chakki atta,grains,10 kg,KG,packets,nature fresh chakki atta
238.0,HAL-SWE-RAS-1KG,haldiram's,rasgulla tin,sweets,1 kg,KG,packets,haldiram's rasgulla tin
239.0,BAL-SNA-POT-90GM,balaji,potato chips,snacks,90 gm,GM,packets,balaji potato chips
240.0,BIN-SNA-MAD-80GM,bingo,mad angles,snacks,80 gm,GM,packets,bingo mad angles
241.0,BIK-SNA-NAM-100GM,bikaji,namkeen,snacks,100 gm,GM,packets,bikaji namkeen
242.0,TRO-BEV-APP-1LTR,tropicana,apple juice,beverages,1 ltr,LTR,bottles,tropicana apple juice
243.0,REA-BEV-MAN-1LTR,real,mango juice,beverages,1 ltr,LTR,bottles,real mango juice
244.0,KEL-BRE-COR-500GM,kellog's,corn flakes,breakfast,500 gm,GM,packets,kellog's corn flakes
245.0,BRI-SNA-GOO-100GM,britannia,good day biscuit,snacks,100 gm,GM,packs,britannia good day biscuit
246.0,MTR-PAC-REA-200GM,mtr,ready-to-eat upma,packaged food,200 gm,GM,packets,mtr ready-to-eat upma
247.0,KNO-PAC-TOM-560GM,knor,tomato soup,packaged food,560 gm,GM,packets,knor tomato soup
248.0,NUT-GRO-COC-950GM,nutella,cocoa spread,grocery,950 gm,GM,packets,nutella cocoa spread
249.0,DAB-BEV-AML-1LTR,dabur,amla juice,beverages,1 ltr,LTR,bottles,dabur amla juice
250.0,BRI-BAK-CAK-200GM,britannia,cake rusk,bakery,200 gm,GM,packets,britannia cake rusk
251.0,VEN-FRO-CHI-500GM,venkys,chicken popcorn,frozen,500 gm,GM,packets,venkys chicken popcorn
252.0,ITC-FRO-FIS-400GM,itc masterchef,fish fillet,frozen,400 gm,GM,packets,itc masterchef fish fillet
253.0,SUH-SPI-MEA-100GM,suhana,meat masala,spices,100 gm,GM,packets,suhana meat masala
254.0,CAT-SPI-JEE-200GM,catch,jeera,spices,200 gm,GM,packets,catch jeera
255.0,AMU-DAI-SHR-250GM,amul,shrikhand,dairy,250 gm,GM,packets,amul shrikhand
256.0,MOT-DAI-LAS-200ML,mother dairy,lassi,dairy,200 ml,ML,packets,mother dairy lassi
257.0,VEE-GRO-MAY-300GM,veeba,mayonnaise,grocery,300 gm,GM,packets,veeba mayonnaise
